molid,deltaz,inert,active,delBE_dft,delBE_alc
0.2_Tl-2.4_Re,3,0:2,2:4,-0.13546088,0.1791
4_Ir-0_Au,1,4,0,-0.73706436,-0.5753
0.4_Os-0.2_Hg,2,0:4,0:2,-1.96690595,-1.2786
0.4_Hg-2.4_Os,2,0:4,2:4,-0.08503983,0.0694
2_Hg-0_Os,2,2,0,0.22658765,1.2006
2.4_Au-2.4_Ir,1,2:4,2:4,-0.00976907,0.0484
0_Au-2_Ir,1,0,2,0.01717369,0.064
2_Ir-2_Au,1,2,2,-0.06872919,-0.0777
0.2.4_Os-0.2.4_Hg,2,0:2:4,0:2:4,-1.97601915,-1.27
0.4_Tl-2.4_Re,3,0:4,2:4,-0.19496712,0.1041
