molid,deltaz,inert,active,delBE_dft,delBE_alc
4.8_Tl-1.4_Re,3,4:8,1:4,0.07442688,0.0800999999999
0.1_Os-0.8_Hg,2,0:1,0:8,-1.6774363,-0.9216
1.8_Re-4.8_Tl,3,1:8,4:8,-0.00501237999998,-0.1572
0.4_Tl-0.1_Re,3,0:4,0:1,-0.2013278,1.3053
1.4.8_Tl-0.1.8_Re,3,1:4:8,0:1:8,-0.16901732,1.3497
0_Re-0_Tl,3,0,0,-2.3868589,-1.3335
0_Au-1_Ir,1,0,1,0.02600448,0.0245
1.8_Re-0.8_Tl,3,1:8,0:8,-2.42990867,-1.3779
4_Au-8_Ir,1,4,8,0.00479002,0.00169999999999
1.4_Au-4.8_Ir,1,1:4,4:8,0.02764261,0.02
0.1_Re-0.8_Tl,3,0:1,0:8,-2.46105136,-1.3824
4_Hg-8_Os,2,4,8,0.000748909999999,0.00339999999997
0.1.4.8_Hg-0.1.4.8_Os,2,0:1:4:8,0:1:4:8,0.07446416,0.975
4.8_Hg-0.8_Os,2,4:8,0:8,0.01387724,0.8894
0.4_Au-0.4_Ir,1,0:4,0:4,0.15699915,0.4482
8_Tl-1_Re,3,8,1,0.10089258,0.069
1.4_Hg-4.8_Os,2,1:4,4:8,0.00708356000001,0.0399999999999
1_Au-8_Ir,1,1,8,0.01334184,0.0163
1_Re-4_Tl,3,1,4,-0.05526876,-0.0548999999999
4_Hg-4_Os,2,4,4,0.00706507000001,0.00739999999996
8_Os-8_Hg,2,8,8,-0.03007973,-0.0682
0_Hg-1_Os,2,0,1,0.03863231,0.049
1.4_Tl-0.8_Re,3,1:4,0:8,-0.23615778,1.2807
0.4_Tl-0.8_Re,3,0:4,0:8,-0.19533429,1.3386
0.1.4.8_Tl-0.1.4.8_Re,3,0:1:4:8,0:1:4:8,-0.12414867,1.4625
1.8_Ir-0.8_Au,1,1:8,0:8,-0.73474956,-0.4593
0.8_Os-0.8_Hg,2,0:8,0:8,-1.69315658,-0.9572
0.1_Os-4.8_Hg,2,0:1,4:8,-0.07979042,-0.1078
0.1.8_Re-0.1.8_Tl,3,0:1:8,0:1:8,-2.42452055,-1.4514
0.8_Au-1.4_Ir,1,0:8,1:4,0.08113699,0.0606
8_Hg-0_Os,2,8,0,0.04093337,0.886
8_Au-4_Ir,1,8,4,0.05157674,0.0361
4.8_Au-0.4_Ir,1,4:8,0:4,0.1571642,0.4467
0.1_Re-0.1_Tl,3,0:1,0:1,-2.34143685,-1.3491
0.8_Ir-1.8_Au,1,0:8,1:8,-0.04491046,-0.0586
1_Ir-8_Au,1,1,8,-0.0206912,-0.0163
4_Os-4_Hg,2,4,4,-0.01517042,-0.00739999999996
1.8_Os-4.8_Hg,2,1:8,4:8,-0.04124256,-0.1048
0.1.4_Os-0.4.8_Hg,2,0:1:4,0:4:8,-1.68779884,-0.929
0.4_Tl-4.8_Re,3,0:4,4:8,0.00661811000001,0.1179
0_Ir-8_Au,1,0,8,-0.03164175,-0.0356
1.4_Tl-1.4_Re,3,1:4,1:4,-0.01365023,0.0266999999999
0.1.8_Os-1.4.8_Hg,2,0:1:8,1:4:8,-0.07233307,-0.1538
4_Re-1_Tl,3,4,1,-0.00419515999999,0.0282
0.4_Au-0.1_Ir,1,0:4,0:1,0.14478411,0.4351
1.8_Hg-1.8_Os,2,1:8,1:8,0.08597713,0.0786
0.8_Re-1.8_Tl,3,0:8,1:8,-0.05554827,-0.1758
0.1_Ir-1.8_Au,1,0:1,1:8,-0.03822405,-0.0408
0.4.8_Tl-1.4.8_Re,3,0:4:8,1:4:8,0.11727469,0.1869
0.1.8_Tl-0.4.8_Re,3,0:1:8,0:4:8,-0.13364249,1.4907
0.1.4.8_Re-0.1.4.8_Tl,3,0:1:4:8,0:1:4:8,-2.44506119,-1.4625
0.8_Tl-1.4_Re,3,0:8,1:4,0.15171845,0.1818
0.1.8_Os-0.1.8_Hg,2,0:1:8,0:1:8,-1.68495518,-0.9676
0.4_Au-4.8_Ir,1,0:4,4:8,0.05188518,0.0393
0.4.8_Hg-0.1.4_Os,2,0:4:8,0:1:4,0.07431845,0.9424
0.1.8_Hg-0.4.8_Os,2,0:1:8,0:4:8,0.07119484,0.9938
8_Ir-8_Au,1,8,8,-0.02743709,-0.0341
1.4_Hg-0.8_Os,2,1:4,0:8,-0.01966824,0.8538
1_Hg-0_Os,2,1,0,-0.000616249999979,0.8504
0.4_Os-1.8_Hg,2,0:4,1:8,-0.04098355,-0.0523999999999
0.1_Re-0.4_Tl,3,0:1,0:4,-2.45140459,-1.3884
0.4.8_Au-0.1.4_Ir,1,0:4:8,0:1:4,0.18597556,0.4712
0.4.8_Hg-1.4.8_Os,2,0:4:8,1:4:8,0.10838536,0.1246
0_Re-4_Tl,3,0,4,-0.07124417,-0.1128
1.8_Os-1.4_Hg,2,1:8,1:4,-0.01692533,-0.0826
1_Re-8_Tl,3,1,8,-0.06146407,-0.0489
0_Os-0_Hg,2,0,0,-1.64886027,-0.889
1.4.8_Au-1.4.8_Ir,1,1:4:8,1:4:8,0.06221737,0.043
0.8_Hg-1.4_Os,2,0:8,1:4,0.13229534,0.1212
0_Os-1_Hg,2,0,1,-0.0265261,-0.049
4_Tl-1_Re,3,4,1,-0.02181623,-0.0282
8_Os-0_Hg,2,8,0,-1.66667232,-0.886
1.8_Tl-1.8_Re,3,1:8,1:8,0.09860167,0.1179
8_Re-8_Tl,3,8,8,0.01269718,-0.1023
4.8_Os-0.1_Hg,2,4:8,0:1,-1.63153412,-0.8672
8_Ir-1_Au,1,8,1,-0.01212037,-0.023
4_Ir-0_Au,1,4,0,-0.69297715,-0.4106
0.1.4_Hg-0.1.4_Os,2,0:1:4,0:1:4,0.0265534,0.9068
0.4_Hg-1.4_Os,2,0:4,1:4,0.03333327,0.0563999999999
4_Hg-0_Os,2,4,0,-0.03514688,0.8212
8_Au-8_Ir,1,8,8,0.04936029,0.0341
0.8_Os-1.8_Hg,2,0:8,1:8,-0.05408328,-0.1172
1_Au-1_Ir,1,1,1,0.00559732000002,0.00519999999999
1_Os-8_Hg,2,1,8,-0.04640516,-0.0326
0_Os-8_Hg,2,0,8,-0.06035717,-0.0712
0.4.8_Os-0.1.8_Hg,2,0:4:8,0:1:8,-1.67471941,-0.9384
0.1.4_Ir-0.4.8_Au,1,0:1:4,0:4:8,-0.72488883,-0.4645
8_Ir-4_Au,1,8,4,-0.02940076,-0.0361
1_Os-1_Hg,2,1,1,-0.0088044,-0.0104
4_Au-1_Ir,1,4,1,-0.00778360999999,-0.00940000000001
8_Os-4_Hg,2,8,4,-0.02081241,-0.0722
