molid,deltaz,inert,active,delBE_dft,delBE_alc
4.7_Ir-3.4_Au,1,4:7,3:4,-0.08361722,-0.0953
6_Re-2_Tl,3,6,2,-0.04031173,-0.1536
6.7_Au-0.3_Ir,1,6:7,0:3,0.23581263,0.5079
6.7_Os-0.2_Hg,2,6:7,0:2,-1.45156944,-0.9408
0.2.3_Re-2.3.6_Tl,3,0:2:3,2:3:6,-0.4737086,-0.5286
0.3.6.7_Hg-0.2.3.6_Os,2,0:3:6:7,0:2:3:6,0.37325109,1.2124
4_Os-3_Hg,2,4,3,-0.12598044,-0.1294
2.3_Au-0.2_Ir,1,2:3,0:2,0.18604202,0.4537
7_Ir-6_Au,1,7,6,-0.04324286,-0.0494
0_Os-2_Hg,2,0,2,-0.0945543,-0.1096
4_Os-0_Hg,2,4,0,-1.41164325,-0.7976
0.7_Ir-2.4_Au,1,0:7,2:4,-0.07532089,-0.0854
6.7_Hg-0.3_Os,2,6:7,0:3,0.25476046,1.0158
0.7_Au-0.2_Ir,1,0:7,0:2,0.20972981,0.474
3_Hg-6_Os,2,3,6,0.01678487,0.087
0.4_Tl-3.4_Re,3,0:4,3:4,0.07874026,0.3075
0.2.3_Ir-2.3.6_Au,1,0:2:3,2:3:6,-0.1709321,-0.1762
0.3.6_Au-0.2.6_Ir,1,0:3:6,0:2:6,0.27528582,0.5211
2.3.4.6_Hg-2.3.4.6_Os,2,2:3:4:6,2:3:4:6,0.19075637,0.3656
2.3_Re-4.6_Tl,3,2:3,4:6,-0.23744377,-0.2007
7_Hg-3_Os,2,7,3,0.0783134,0.1702
6.7_Re-0.2_Tl,3,6:7,0:2,-2.04651033,-1.4112
0_Ir-3_Au,1,0,3,-0.08626211,-0.0923
6_Ir-2_Au,1,6,2,-0.04529195,-0.0512
0.6_Ir-3.6_Au,1,0:6,3:6,-0.10744869,-0.1453
6_Au-3_Ir,1,6,3,0.06804178,0.0887
0_Ir-2_Au,1,0,2,-0.05598208,-0.0548
2.3.6_Tl-0.3.6_Re,3,2:3:6,0:3:6,0.24015044,1.6326
3.7_Tl-2.4_Re,3,3:7,2:4,0.00383659999997,0.2169
0.7_Re-2.4_Tl,3,0:7,2:4,-0.22584126,-0.2562
0_Re-2_Tl,3,0,2,-0.14062728,-0.1644
3_Ir-2_Au,1,3,2,-0.05264869,-0.0417
0.7_Re-2.6_Tl,3,0:7,2:6,-0.27460694,-0.3126
3_Os-0_Hg,2,3,0,-1.43153774,-0.8266
0_Os-3_Hg,2,0,3,-0.16976537,-0.1846
6_Hg-4_Os,2,6,4,0.05494676,0.0684
7_Hg-0_Os,2,7,0,0.14559239,0.8384
0.7_Os-2.6_Hg,2,0:7,2:6,-0.18931796,-0.2084
2.4.6_Au-0.2.3_Ir,1,2:4:6,0:2:3,0.24133771,0.5279
0.7_Os-2.4_Hg,2,0:7,2:4,-0.13225846,-0.1708
4.7_Os-0.3_Hg,2,4:7,0:3,-1.53370208,-0.9678
0.6_Os-3.6_Hg,2,0:6,3:6,-0.194785,-0.2906
3_Os-2_Hg,2,3,2,-0.09603781,-0.0834
4.7_Re-0.3_Tl,3,4:7,0:3,-2.1708066,-1.4517
0.2.6.7_Re-2.3.4.6_Tl,3,0:2:6:7,2:3:4:6,-0.54146959,-0.6489
2.3.4.6_Ir-0.2.3.6_Au,1,2:3:4:6,0:2:3:6,-0.73239733,-0.5714
3.4.6_Ir-0.2.4_Au,1,3:4:6,0:2:4,-0.6568279,-0.4747
3.6.7_Au-0.2.6_Ir,1,3:6:7,0:2:6,0.27401362,0.5139
0.7_Tl-0.2_Re,3,0:7,0:2,0.06114357,1.422
2_Os-4_Hg,2,2,4,-0.05678096,-0.0468
7_Au-2_Ir,1,7,2,0.03918847,0.0476
7_Os-6_Hg,2,7,6,-0.06757111,-0.0988
4_Ir-0_Au,1,4,0,-0.61000067,-0.3988
0.3.6.7_Ir-0.2.4.6_Au,1,0:3:6:7,0:2:4:6,-0.69172123,-0.5517
3_Ir-0_Au,1,3,0,-0.62013042,-0.4133
2.3_Tl-0.2_Re,3,2:3,0:2,-0.00119542000002,1.3611
2.3.7_Tl-2.3.6_Re,3,2:3:7,2:3:6,0.20794079,0.507
0.6_Ir-2.3_Au,1,0:6,2:3,-0.13191659,-0.1435
3.7_Hg-3.4_Os,2,3:7,3:4,0.09674775,0.2196
0.3.6.7_Os-0.2.4.6_Hg,2,0:3:6:7,0:2:4:6,-1.52492567,-1.1034
2.3.4.6_Re-0.2.3.6_Tl,3,2:3:4:6,0:2:3:6,-2.20223979,-1.7142
6_Os-6_Hg,2,6,6,-0.0493132,-0.106
0.7_Au-3.4_Ir,1,0:7,3:4,0.08770191,0.1229
0_Os-4_Hg,2,0,4,-0.05908314,-0.0756
2.3.6_Ir-2.3.6_Au,1,2:3:6,2:3:6,-0.15108419,-0.1726
6_Os-0_Hg,2,6,0,-1.39783059,-0.8456
4.7_Re-3.4_Tl,3,4:7,3:4,-0.29672759,-0.2859
3.6.7_Hg-0.2.6_Os,2,3:6:7,0:2:6,0.28246294,1.0278
4.7_Hg-2.6_Os,2,4:7,2:6,0.11182211,0.1532
3.6_Hg-4.6_Os,2,3:6,4:6,0.04640989,0.1554
2_Hg-3_Os,2,2,3,0.06123628,0.1558
2_Au-0_Ir,1,2,0,0.16346263,0.412
2_Au-6_Ir,1,2,6,0.02461086,0.0422
0.3.6.7_Re-0.2.4.6_Tl,3,0:3:6:7,0:2:4:6,-2.20293001,-1.6551
3.6_Au-4.6_Ir,1,3:6,4:6,0.05210934,0.0777
3_Au-3_Ir,1,3,3,0.04330615,0.0792
0.3.4_Tl-3.4.6_Re,3,0:3:4,3:4:6,0.06265655,0.438
4_Tl-2_Re,3,4,2,-0.02106522,0.0816
0.6_Tl-4.6_Re,3,0:6,4:6,0.07131525,0.2724
7_Re-6_Tl,3,7,6,-0.07041429,-0.1482
0.6_Au-0.6_Ir,1,0:6,0:6,0.25527814,0.4794
2.3.6_Os-2.3.6_Hg,2,2:3:6,2:3:6,-0.27200894,-0.3452
7_Tl-0_Re,3,7,0,0.04887868,1.2576
