molid,deltaz,inert,active,delBE_dft,delBE_alc
0.4_Au-0.2_Ir,1,0:4,0:2,0.3937214,0.644
0_Hg-2_Os,2,0,2,-0.00447911000001,0.0904
0.4_Ir-0.2_Au,1,0:4,0:2,-0.72075646,-0.644
0.4_Hg-0.2_Os,2,0:4,0:2,0.57153458,1.288
2_Tl-4_Re,3,2,4,-0.13702055,-0.0288
0.2.4_Tl-0.2.4_Re,3,0:2:4,0:2:4,0.49280426,1.9032
0_Os-2_Hg,2,0,2,-0.10651401,-0.0904
0.2_Re-0.2_Tl,3,0:2,0:2,-2.54552493,-2.0145
0.4_Os-0.2_Hg,2,0:4,0:2,-1.62569581,-1.288
0.2_Hg-2.4_Os,2,0:2,2:4,-0.06803439,0.0712
2.4_Au-0.4_Ir,1,2:4,0:4,0.33367582,0.5892
0_Re-2_Tl,3,0,2,-0.18812217,-0.1356
