molid,deltaz,inert,active,delBE_dft,delBE_alc
0.2.7_Hg-2.3.7_Os,2,0:2:7,2:3:7,0.05479282,0.3782
0.6_Re-2.7_Tl,3,0:6,2:7,-0.31437297,-0.297
6.7_Re-0.4_Tl,3,6:7,0:4,-1.45759843,-1.8153
0.6_Os-2.7_Hg,2,0:6,2:7,-0.18347584,-0.198
0.2.7_Tl-2.3.7_Re,3,0:2:7,2:3:7,0.03448659,0.5673
7_Ir-0_Au,1,7,0,-0.64945866,-0.5634
0.6_Au-0.6_Ir,1,0:6,0:6,0.39531093,0.5957
0.2.6.7_Au-2.3.4.7_Ir,1,0:2:6:7,2:3:4:7,0.11996173,0.2308
3.6_Ir-2.3_Au,1,3:6,2:3,-0.11409858,-0.1292
0.6.7_Ir-3.4.7_Au,1,0:6:7,3:4:7,-0.16843735,-0.2047
3_Hg-0_Os,2,3,0,0.37381621,1.0236
6.7_Os-0.4_Hg,2,6:7,0:4,-1.11436203,-1.2102
7_Hg-6_Os,2,7,6,0.07285281,0.1182
0.2.3_Ir-0.4.6_Au,1,0:2:3,0:4:6,-0.59004288,-0.5559
0.7_Tl-2.3_Re,3,0:7,2:3,0.0675972,0.4764
7_Hg-3_Os,2,7,3,0.07849751,0.2448
3.7_Os-3.7_Hg,2,3:7,3:7,-0.3357491,-0.2716
3.6_Tl-3.6_Re,3,3:6,3:6,0.01149071,0.3825
2.3.6_Au-2.3.4_Ir,1,2:3:6,2:3:4,0.07453679,0.1386
2.6.7_Hg-2.3.6_Os,2,2:6:7,2:3:6,0.19555396,0.4104
0.2.6.7_Re-2.3.6.7_Tl,3,0:2:6:7,2:3:6:7,-0.80919468,-0.7374
0.2.3_Re-0.4.6_Tl,3,0:2:3,0:4:6,-1.73061431,-1.6677
7_Os-7_Hg,2,7,7,-0.1743922,-0.13
0.7_Tl-0.4_Re,3,0:7,0:4,0.48196465,1.7493
0.3.6.7_Ir-0.3.4.6_Au,1,0:3:6:7,0:3:4:6,-0.68196847,-0.7106
