,label,delta nuclear charge,transmute indexes,transmute espdiff,counter indexes,counter espdiff,alchemical derivative,slab atoms object,ads atoms object,deltaE DFT,absolute errors
16,0.16.Re12.Re14.Re15.Re9.Tl0.Tl1.Tl2.Tl3,-3,"[12, 14, 15, 9]","[0.25430000000000064, 0.8449999999999989, 0.8825999999999965, 0.8830999999999989]","[0, 1, 2, 3]","[0.9098000000000042, 0.9098000000000042, 0.9161000000000001, 1.0037999999999982]",2.6235000000000355,"Atoms(symbols='Tl4Pt5RePt2RePtRe2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))","Atoms(symbols='Tl4Pt5RePt2RePtRe2NH2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))",0.7754424900000032,1.8480575100000323
17,0.17.Re12.Re14.Re15.Re10.Tl0.Tl1.Tl2.Tl3,-3,"[12, 14, 15, 10]","[0.25430000000000064, 0.8449999999999989, 0.8825999999999965, 0.8148000000000053]","[0, 1, 2, 3]","[0.9098000000000042, 0.9098000000000042, 0.9161000000000001, 1.0037999999999982]",2.8284000000000162,"Atoms(symbols='Tl4Pt6RePtRePtRe2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))","Atoms(symbols='Tl4Pt6RePtRePtRe2NH2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))",0.21953450000000885,2.6088655000000074
18,0.18.Re12.Re14.Re15.Re11.Tl0.Tl1.Tl2.Tl3,-3,"[12, 14, 15, 11]","[0.25430000000000064, 0.8449999999999989, 0.8825999999999965, 0.9865000000000066]","[0, 1, 2, 3]","[0.9098000000000042, 0.9098000000000042, 0.9161000000000001, 1.0037999999999982]",2.3133000000000123,"Atoms(symbols='Tl4Pt7Re2PtRe2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))","Atoms(symbols='Tl4Pt7Re2PtRe2NH2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))",0.5092398400000064,1.804060160000006
19,0.19.Re12.Re14.Re8.Re9.Tl0.Tl1.Tl2.Tl3,-3,"[12, 14, 8, 9]","[0.25430000000000064, 0.8449999999999989, 0.8830999999999989, 0.8830999999999989]","[0, 1, 2, 3]","[0.9098000000000042, 0.9098000000000042, 0.9161000000000001, 1.0037999999999982]",2.6220000000000283,"Atoms(symbols='Tl4Pt4Re2Pt2RePtRePt', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))","Atoms(symbols='Tl4Pt4Re2Pt2RePtRePtNH2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))",0.666088160000001,1.9559118400000273
20,0.20.Re12.Re14.Re8.Re10.Tl0.Tl1.Tl2.Tl3,-3,"[12, 14, 8, 10]","[0.25430000000000064, 0.8449999999999989, 0.8830999999999989, 0.8148000000000053]","[0, 1, 2, 3]","[0.9098000000000042, 0.9098000000000042, 0.9161000000000001, 1.0037999999999982]",2.826900000000009,"Atoms(symbols='Tl4Pt4RePtRePtRePtRePt', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))","Atoms(symbols='Tl4Pt4RePtRePtRePtRePtNH2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))",0.4003401400000115,2.4265598599999976
21,0.21.Re12.Re14.Re8.Re11.Tl0.Tl1.Tl2.Tl3,-3,"[12, 14, 8, 11]","[0.25430000000000064, 0.8449999999999989, 0.8830999999999989, 0.9865000000000066]","[0, 1, 2, 3]","[0.9098000000000042, 0.9098000000000042, 0.9161000000000001, 1.0037999999999982]",2.311800000000005,"Atoms(symbols='Tl4Pt4RePt2Re2PtRePt', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))","Atoms(symbols='Tl4Pt4RePt2Re2PtRePtNH2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))",0.526795060000012,1.7850049399999932
22,0.22.Re12.Re14.Re9.Re10.Tl0.Tl1.Tl2.Tl3,-3,"[12, 14, 9, 10]","[0.25430000000000064, 0.8449999999999989, 0.8830999999999989, 0.8148000000000053]","[0, 1, 2, 3]","[0.9098000000000042, 0.9098000000000042, 0.9161000000000001, 1.0037999999999982]",2.826900000000009,"Atoms(symbols='Tl4Pt5Re2PtRePtRePt', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))","Atoms(symbols='Tl4Pt5Re2PtRePtRePtNH2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))",0.3209463100000107,2.5059536899999983
23,0.23.Re12.Re14.Re9.Re11.Tl0.Tl1.Tl2.Tl3,-3,"[12, 14, 9, 11]","[0.25430000000000064, 0.8449999999999989, 0.8830999999999989, 0.9865000000000066]","[0, 1, 2, 3]","[0.9098000000000042, 0.9098000000000042, 0.9161000000000001, 1.0037999999999982]",2.311800000000005,"Atoms(symbols='Tl4Pt5RePtRe2PtRePt', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))","Atoms(symbols='Tl4Pt5RePtRe2PtRePtNH2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))",0.6150498199999959,1.6967501800000093
24,0.24.Re12.Re14.Re10.Re11.Tl0.Tl1.Tl2.Tl3,-3,"[12, 14, 10, 11]","[0.25430000000000064, 0.8449999999999989, 0.8148000000000053, 0.9865000000000066]","[0, 1, 2, 3]","[0.9098000000000042, 0.9098000000000042, 0.9161000000000001, 1.0037999999999982]",2.516699999999986,"Atoms(symbols='Tl4Pt6Re3PtRePt', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))","Atoms(symbols='Tl4Pt6Re3PtRePtNH2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))",0.2673281499999973,2.2493718499999886
25,0.25.Re12.Re15.Re8.Re9.Tl0.Tl1.Tl2.Tl3,-3,"[12, 15, 8, 9]","[0.25430000000000064, 0.8825999999999965, 0.8830999999999989, 0.8830999999999989]","[0, 1, 2, 3]","[0.9098000000000042, 0.9098000000000042, 0.9161000000000001, 1.0037999999999982]",2.5092000000000354,"Atoms(symbols='Tl4Pt4Re2Pt2RePt2Re', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))","Atoms(symbols='Tl4Pt4Re2Pt2RePt2ReNH2', pbc=True, cell=[[5.557859300126264, 0.0, 0.0], [2.778929650063132, 4.8132473445689445, 0.0], [0.0, 0.0, 30.806959673745688]], constraint=FixAtoms(indices=[0, 1, 2, 3]))",0.5654101000000082,1.9437899000000272
