molid,deltaz,inert,active,delBE_dft,delBE_alc
8_Ir-1_Au,1,8,1,-0.0541398,-0.0445
8_Hg-8_Os,2,8,8,0.13025808,0.1686
0.3.4.8_Au-0.2.3.5_Ir,1,0:3:4:8,0:2:3:5,0.36381207,0.6142
8_Tl-5_Re,3,8,5,-0.01198585,0.1398
0.1.3.4_Os-0.1.3.4_Hg,2,0:1:3:4,0:1:3:4,-1.2028535,-1.1958
4.8_Ir-1.3_Au,1,4:8,1:3,-0.04882628,-0.0199
1_Ir-5_Au,1,1,5,-0.02141621,0.00380000000001
3_Tl-8_Re,3,3,8,0.01023475,0.1059
3_Hg-1_Os,2,3,1,-0.05441058,-0.00900000000001
1_Ir-3_Au,1,1,3,-0.01554903,0.00250000000001
0.8_Tl-1.4_Re,3,0:8,1:4,0.04553209,0.3279
3_Ir-0_Au,1,3,0,-0.61583437,-0.5636
3_Tl-5_Re,3,3,5,-0.12026709,-0.00720000000003
3.4_Au-3.4_Ir,1,3:4,3:4,-0.01600869,0.0121
0.4_Os-2.8_Hg,2,0:4,2:8,-0.1793514,-0.0808
1_Au-4_Ir,1,1,4,0.01839677,0.0353
1.4_Hg-1.2_Os,2,1:4,1:2,-0.12833495,-0.0578
1.4.8_Os-2.3.4_Hg,2,1:4:8,2:3:4,-0.22027018,-0.1204
4_Os-1_Hg,2,4,1,-0.05166901,0.056
0_Re-4_Tl,3,0,4,-0.14559495,-0.1944
1.3.4_Ir-0.2.5_Au,1,1:3:4,0:2:5,-0.63208813,-0.5368
0.3.4.8_Au-2.4.5.8_Ir,1,0:3:4:8,2:4:5:8,0.08154007,0.1237
0.1_Os-1.2_Hg,2,0:1,1:2,-0.16592777,-0.0453999999999
0_Hg-8_Os,2,0,8,0.05534804,0.1268
1_Tl-2_Re,3,1,2,-0.08488476,-0.00270000000005
0_Hg-0_Os,2,0,0,0.48309308,1.1834
1_Hg-0_Os,2,1,0,0.44353284,1.1244
0.3_Au-3.8_Ir,1,0:3,3:8,0.03320157,0.0623
4.8_Au-0.3_Ir,1,4:8,0:3,0.35646138,0.588
0.8_Ir-0.2_Au,1,0:8,0:2,-0.67733918,-0.6412
1.4.8_Re-0.2.5_Tl,3,1:4:8,0:2:5,-1.52221993,-1.7574
1.3.4_Os-0.2.5_Hg,2,1:3:4,0:2:5,-1.11113433,-1.0736
3_Ir-4_Au,1,3,4,-0.03988388,-0.0367
0_Ir-2_Au,1,0,2,-0.04248896,-0.0286
0.1.3.4_Re-0.1.3.4_Tl,3,0:1:3:4,0:1:3:4,-1.62733684,-1.7937
8_Ir-3_Au,1,8,3,-0.0528395,-0.0479
0.3.4.8_Os-0.2.4.5_Hg,2,0:3:4:8,0:2:4:5,-1.22426546,-1.304
0.1_Ir-1.5_Au,1,0:1,1:5,-0.06241392,-0.0198
0.1.3.4_Au-1.2.4.5_Ir,1,0:1:3:4,1:2:4:5,-0.02982933,0.0335
1.3.4_Hg-0.1.4_Os,2,1:3:4,0:1:4,0.40096246,1.1418
4_Re-1_Tl,3,4,1,-0.11558712,0.084
1.3.4_Tl-0.1.4_Re,3,1:3:4,0:1:4,0.42868636,1.7127
0.3.4_Tl-0.1.4_Re,3,0:3:4,0:1:4,0.45185897,1.8012
1.4_Tl-1.2_Re,3,1:4,1:2,-0.18491598,-0.0867000000001
8_Os-1_Hg,2,8,1,-0.1209125,-0.089
0_Au-8_Ir,1,0,8,0.0471771,0.0634
0.4_Tl-2.5_Re,3,0:4,2:5,-0.16588847,0.00809999999993
0_Re-3_Tl,3,0,3,-0.17908362,-0.081
4_Os-3_Hg,2,4,3,-0.04330477,0.0492
1.4_Au-1.2_Ir,1,1:4,1:2,-0.06078858,-0.0289
0.4_Hg-2.5_Os,2,0:4,2:5,-0.08603502,0.00539999999995
0.1.4.8_Os-1.2.5.8_Hg,2,0:1:4:8,1:2:5:8,-0.3772132,-0.1622
0.4_Au-0.8_Ir,1,0:4,0:8,0.37139387,0.6035
4.8_Tl-0.3_Re,3,4:8,0:3,0.47059833,1.764
1.3.4_Au-1.4.5_Ir,1,1:3:4,1:4:5,-0.03527865,0.00489999999998
1.4.8_Tl-1.5.8_Re,3,1:4:8,1:5:8,-0.11401732,0.1575
0_Ir-1_Au,1,0,1,-0.04202413,-0.0236
8_Re-1_Tl,3,8,1,-0.1583521,-0.1335
0.1_Re-1.2_Tl,3,0:1,1:2,-0.32990469,-0.0680999999999
1.3.4_Re-0.2.5_Tl,3,1:3:4,0:2:5,-1.52793977,-1.6104
4.8_Os-0.4_Hg,2,4:8,0:4,-1.05792904,-1.2516
3_Au-8_Ir,1,3,8,0.02633754,0.0353
3_Hg-5_Os,2,3,5,-0.0635989,-0.00480000000002
0.1_Os-1.5_Hg,2,0:1,1:5,-0.19708949,-0.0396
3.4.8_Au-0.2.4_Ir,1,3:4:8,0:2:4,0.38481016,0.6263
8_Tl-2_Re,3,8,2,0.01815276,0.1485
0.1.4.8_Ir-1.2.5.8_Au,1,0:1:4:8,1:2:5:8,-0.11773836,-0.0810999999999
0.1.4.8_Re-1.2.4.8_Tl,3,0:1:4:8,1:2:4:8,-0.60175717,-0.3606
0.3.4_Hg-0.2.4_Os,2,0:3:4,0:2:4,0.44902088,1.2108
8_Os-3_Hg,2,8,3,-0.11268584,-0.0958
0.1_Ir-1.2_Au,1,0:1,1:2,-0.0403109,-0.0227
3.4.8_Hg-0.2.4_Os,2,3:4:8,0:2:4,0.46731253,1.2526
4.8_Ir-0.4_Au,1,4:8,0:4,-0.67706094,-0.6258
0.8_Os-0.2_Hg,2,0:8,0:2,-1.08838488,-1.2824
0.1.3_Tl-0.3.4_Re,3,0:1:3,0:3:4,0.52116005,1.8777
0_Re-2_Tl,3,0,2,-0.18383269,-0.0857999999999
0_Ir-5_Au,1,0,5,-0.04652655,-0.0257
3.4_Hg-1.2_Os,2,3:4,1:2,-0.13022996,-0.055
0.8_Hg-1.4_Os,2,0:8,1:4,0.09924019,0.2186
3.4_Hg-3.5_Os,2,3:4,3:5,-0.12331478,-0.054
0.3.4_Au-0.2.4_Ir,1,0:3:4,0:2:4,0.36738912,0.6054
0.3.4.8_Hg-0.2.3.5_Os,2,0:3:4:8,0:2:3:5,0.41758657,1.2284
0.3.4.8_Re-0.2.4.5_Tl,3,0:3:4:8,0:2:4:5,-1.60454664,-1.956
1.3.4_Au-2.3.4_Ir,1,1:3:4,2:3:4,-0.02700223,0.0112
1_Os-5_Hg,2,1,5,-0.09477254,0.00760000000002
0.1.4.8_Os-1.2.4.8_Hg,2,0:1:4:8,1:2:4:8,-0.37847859,-0.2404
1.3.4_Au-2.3.8_Ir,1,1:3:4,2:3:8,-0.02280904,0.00979999999997
0_Os-2_Hg,2,0,2,-0.11272559,-0.0572
0.3_Hg-3.8_Os,2,0:3,3:8,0.01484548,0.1246
0.8_Re-5.8_Tl,3,0:8,5:8,-0.38635254,-0.33
4_Ir-3_Au,1,4,3,-0.000111779999969,0.0246
4.8_Au-1.5_Ir,1,4:8,1:5,-0.00640301000001,0.0186
0.1.4_Os-0.1.5_Hg,2,0:1:4,0:1:5,-1.1244865,-1.1198
1_Hg-1_Os,2,1,1,-0.05763405,-0.0118
1.4_Au-1.4_Ir,1,1:4,1:4,-0.0217263,0.00729999999999
1.3.4_Tl-1.4.5_Re,3,1:3:4,1:4:5,-0.18011293,0.0146999999999
3.4_Tl-1.2_Re,3,3:4,1:2,-0.19267651,-0.0825000000001
1_Re-3_Tl,3,1,3,-0.13672812,0.00750000000004
0.1.3.4_Ir-0.1.3.4_Au,1,0:1:3:4,0:1:3:4,-0.67002827,-0.5979
0.3_Tl-3.8_Re,3,0:3,3:8,-0.03155963,0.1869
0.3.4_Hg-0.1.4_Os,2,0:3:4,0:1:4,0.4245553,1.2008
0.4_Tl-0.8_Re,3,0:4,0:8,0.50358917,1.8105
8_Au-8_Ir,1,8,8,0.08543883,0.0843
0_Ir-3_Au,1,0,3,-0.04063382,-0.027
3.4_Tl-3.5_Re,3,3:4,3:5,-0.20739578,-0.081
0.1.3.4_Au-1.3.5.8_Ir,1,0:1:3:4,1:3:5:8,-0.00345872,0.0305
3.8_Re-3.5_Tl,3,3:8,3:5,-0.33827169,-0.1365
3.4_Tl-3.4_Re,3,3:4,3:4,-0.08569796,0.0363
0.4_Au-2.5_Ir,1,0:4,2:5,-0.02974726,0.00269999999998
1_Tl-0_Re,3,1,0,0.46324532,1.6866
0_Os-4_Hg,2,0,4,-0.11508835,-0.1296
3.4.8_Os-0.1.4_Hg,2,3:4:8,0:1:4,-1.12879142,-1.2426
0.8_Os-0.3_Hg,2,0:8,0:3,-1.08499103,-1.2792
3.4_Tl-3.8_Re,3,3:4,3:8,-0.08275954,0.0321
3.4_Os-1.3_Hg,2,3:4,1:3,-0.1250009,0.0582
0.1.3_Hg-0.3.4_Os,2,0:1:3,0:3:4,0.48822067,1.2518
0_Au-0_Ir,1,0,0,0.37672826,0.5917
0.4_Au-3.5_Ir,1,0:4,3:5,-0.02971827,0.00109999999998
0_Re-1_Tl,3,0,1,-0.19296155,-0.0708
4_Hg-8_Os,2,4,8,0.00469279999999,0.0236
1.3.4_Tl-2.3.8_Re,3,1:3:4,2:3:8,-0.09635029,0.0293999999999
1.3.4_Hg-2.3.8_Os,2,1:3:4,2:3:8,-0.068256,0.0195999999999
4_Hg-2_Os,2,4,2,-0.08085024,-0.046
0_Ir-4_Au,1,0,4,-0.06373611,-0.0648
4_Ir-1_Au,1,4,1,-0.00150570999998,0.028
0.4_Re-2.8_Tl,3,0:4,2:8,-0.290782,-0.1212
8_Au-2_Ir,1,8,2,0.04405843,0.0495
4.8_Os-1.3_Hg,2,4:8,1:3,-0.15415856,-0.0398
4_Au-8_Ir,1,4,8,0.00698554000002,0.0118
0.1.4.8_Re-1.2.5.8_Tl,3,0:1:4:8,1:2:5:8,-0.67058873,-0.2433
8_Os-0_Hg,2,8,0,-1.00888085,-1.2252
0.3.4.8_Tl-2.4.5.8_Re,3,0:3:4:8,2:4:5:8,-0.07661711,0.3711
4_Re-3_Tl,3,4,3,-0.10139464,0.0738
0.4_Hg-3.5_Os,2,0:4,3:5,-0.08204955,0.00219999999996
3.4.8_Re-0.1.4_Tl,3,3:4:8,0:1:4,-1.45773058,-1.8639
4_Au-2_Ir,1,4,2,-0.03920869,-0.023
0_Os-3_Hg,2,0,3,-0.10903342,-0.054
1.3.4_Hg-1.4.5_Os,2,1:3:4,1:4:5,-0.10473843,0.00979999999996
0.1.3.4_Tl-1.2.4.5_Re,3,0:1:3:4,1:2:4:5,-0.23029849,0.1005
4.8_Hg-1.5_Os,2,4:8,1:5,-0.07468609,0.0372
0.8_Hg-0.4_Os,2,0:8,0:4,0.5759831,1.3548
1.4.8_Os-0.2.5_Hg,2,1:4:8,0:2:5,-1.1209636,-1.1716
0_Os-1_Hg,2,0,1,-0.11726736,-0.0472
3_Re-4_Tl,3,3,4,-0.09750176,-0.1101
3.4_Hg-3.8_Os,2,3:4,3:8,-0.04239663,0.0214
1.4_Tl-1.4_Re,3,1:4,1:4,-0.11155616,0.0219
4.8_Re-1.3_Tl,3,4:8,1:3,-0.28851782,-0.0596999999999
0_Os-5_Hg,2,0,5,-0.12936719,-0.0514
1.4.8_Re-2.3.4_Tl,3,1:4:8,2:3:4,-0.3793576,-0.1806
4.8_Re-0.4_Tl,3,4:8,0:4,-1.3031452,-1.8774
0.3.4_Au-0.1.4_Ir,1,0:3:4,0:1:4,0.36234426,0.6004
1_Tl-1_Re,3,1,1,-0.10125852,-0.0177
3_Os-0_Hg,2,3,0,-0.97726629,-1.1272
0.1.4_Re-0.1.5_Tl,3,0:1:4,0:1:5,-1.55049979,-1.6797
3.4_Hg-3.4_Os,2,3:4,3:4,-0.04615937,0.0242
3_Au-5_Ir,1,3,5,-0.02290434,-0.00240000000001
1.3.4_Hg-2.3.4_Os,2,1:3:4,2:3:4,-0.07729999,0.0223999999999
4_Os-4_Hg,2,4,4,-0.04546023,-0.0264
