,label,delta nuclear charge,transmute indexes,transmute espdiff,counter indexes,counter espdiff,alchemical derivative,slab atoms object,ads atoms object,deltaE DFT,absolute errors
0,0.0.Au3.Ir0,1,[3],[1.0381],[0],[1.9410000000000025],-0.9029000000000025,"Atoms(symbols='IrPt2Au', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='IrPt2AuNH2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",-0.7671573200000026,0.1357426799999999
1,0.1.Au2.Ir0,1,[2],[1.8097999999999956],[0],[1.9410000000000025],-0.13120000000000687,"Atoms(symbols='IrPtAuPt', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='IrPtAuPtNH2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",-0.14549305000000246,0.014293049999995588
0,0.0.Ir3.Au0,-1,[3],[1.0381],[0],[1.9410000000000025],0.9029000000000025,"Atoms(symbols='AuPt2Ir', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='AuPt2IrNH2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",0.8918477999999936,0.011052200000008838
1,0.1.Ir2.Au0,-1,[2],[1.8097999999999956],[0],[1.9410000000000025],0.13120000000000687,"Atoms(symbols='AuPtIrPt', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='AuPtIrPtNH2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",0.0023848999999955822,0.12881510000001128
0,0.0.Au3.Au2.Ir0.Ir1,1,"[3, 2]","[1.0381, 1.8097999999999956]","[0, 1]","[1.9410000000000025, 2.0263999999999953]",-1.1195000000000022,"Atoms(symbols='Ir2Au2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='Ir2Au2NH2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",-0.835942450000001,0.28355755000000116
0,0.0.Ir3.Ir2.Au0.Au1,-1,"[3, 2]","[1.0381, 1.8097999999999956]","[0, 1]","[1.9410000000000025, 2.0263999999999953]",1.1195000000000022,"Atoms(symbols='Au2Ir2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='Au2Ir2NH2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",0.6842834799999942,0.435216520000008
0,0.0.Hg3.Os0,2,[3],[1.0381],[0],[1.9410000000000025],-1.805800000000005,"Atoms(symbols='OsPt2Hg', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='OsPt2HgNH2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",-1.2449692200000015,0.5608307800000034
1,0.1.Hg2.Os0,2,[2],[1.8097999999999956],[0],[1.9410000000000025],-0.26240000000001373,"Atoms(symbols='OsPtHgPt', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='OsPtHgPtNH2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",-0.2332898600000064,0.029110140000007334
0,0.0.Os3.Hg0,-2,[3],[1.0381],[0],[1.9410000000000025],1.805800000000005,"Atoms(symbols='HgPt2Os', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='HgPt2OsNH2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",1.23917273,0.566627270000005
1,0.1.Os2.Hg0,-2,[2],[1.8097999999999956],[0],[1.9410000000000025],0.26240000000001373,"Atoms(symbols='HgPtOsPt', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0]))","Atoms(symbols='HgPtOsPtNH2', pbc=True, cell=[[2.7718585822512662, 0.0, 0.0], [1.3859292911256331, 2.400499947927514, 0.0], [0.0, 0.0, 26.789639165670003]], constraint=FixAtoms(indices=[0, 1]))",-0.007629790000002856,0.2700297900000166
