molid,deltaz,inert,active,delBE_dft,delBE_alc
4_Os-1_Hg,2,4,1,-0.02424469,-0.00939999999997
4_Hg-3_Os,2,4,3,-0.01567076,0.00599999999997
1_Au-0_Ir,1,1,0,0.07194011,0.3093
0.1.4_Hg-0.3.5_Os,2,0:1:4,0:3:5,0.0965298,0.7188
1_Os-5_Hg,2,1,5,-0.05997044,-0.0586
0_Hg-3_Os,2,0,3,0.04352318,0.0858
0.1_Ir-0.1_Au,1,0:1,0:1,-0.60656124,-0.3539
0.1.4_Au-1.7.8_Ir,1,0:1:4,1:7:8,0.05617227,0.0674
1_Tl-5_Re,3,1,5,0.00914494999998,0.0879
1.4_Re-0.5_Tl,3,1:4,0:5,-1.76847863,-0.9495
1_Os-8_Hg,2,1,8,-0.07125028,-0.0422
0.1_Au-1.7_Ir,1,0:1,1:7,0.05751657,0.0684
0.1_Re-0.1_Tl,3,0:1,0:1,-1.83176799,-1.0617
0.1.4_Re-0.5.8_Tl,3,0:1:4,0:5:8,-1.89671342,-1.0662
1_Au-7_Ir,1,1,7,0.01571073,0.0238
0_Hg-7_Os,2,0,7,0.04236467,0.0832
0_Hg-1_Os,2,0,1,0.04116703,0.0892
0.1_Tl-3.8_Re,3,0:1,3:8,0.04698128,0.192
1_Tl-1_Re,3,1,1,0.01560323,0.0803999999999
1.4_Tl-1.3_Re,3,1:4,1:3,-0.00222020000001,0.0893999999999
0.1_Re-1.5_Tl,3,0:1,1:5,-0.19608624,-0.2217
1.4_Re-3.5_Tl,3,1:4,3:5,-0.16942498,-0.0968999999999
4_Hg-7_Os,2,4,7,-0.01683759,0.00339999999997
0.1.4_Ir-1.3.7_Au,1,0:1:4,1:3:7,-0.07391874,-0.0714
0.1.4_Re-1.3.7_Tl,3,0:1:4,1:3:7,-0.27664116,-0.2142
4_Re-3_Tl,3,4,3,-0.03984219,-0.00899999999996
4_Os-7_Hg,2,4,7,-0.01210402,-0.00339999999997
4_Ir-3_Au,1,4,3,-0.00757148,-0.00299999999999
1.4_Ir-0.5_Au,1,1:4,0:5,-0.58598145,-0.3165
0.1_Ir-0.3_Au,1,0:1,0:3,-0.60273852,-0.3522
0.4_Hg-5.8_Os,2,0:4,5:8,0.02407828,0.0922
1_Ir-8_Au,1,1,8,-0.02879795,-0.0211
0_Au-0_Ir,1,0,0,0.09099045,0.3271
0_Tl-5_Re,3,0,5,0.0374583,0.1413
1_Ir-3_Au,1,1,3,-0.0266683,-0.0251
1.4_Tl-3.7_Re,3,1:4,3:7,-0.03254466,0.0803999999999
0.1_Re-5.7_Tl,3,0:1,5:7,-0.18976784,-0.2127
1.4_Ir-1.5_Au,1,1:4,1:5,-0.0406956,-0.034
0.1.4_Os-5.7.8_Hg,2,0:1:4,5:7:8,-0.15545583,-0.1398
0.4_Hg-0.8_Os,2,0:4,0:8,0.00806569,0.6522
1_Re-0_Tl,3,1,0,-1.81864071,-0.9279
0_Ir-8_Au,1,0,8,-0.04006877,-0.0389
0.4_Ir-1.5_Au,1,0:4,1:5,-0.05442452,-0.0518
0.1.4_Ir-5.7.8_Au,1,0:1:4,5:7:8,-0.06389145,-0.0699
0.1.4_Ir-3.5.8_Au,1,0:1:4,3:5:8,-0.07591052,-0.0712
0.1_Hg-3.5_Os,2,0:1,3:5,0.078805,0.1444
0.1.4_Ir-0.5.7_Au,1,0:1:4,0:5:7,-0.60055943,-0.3581
0.1_Ir-1.5_Au,1,0:1,1:5,-0.07079134,-0.0739
1_Os-7_Hg,2,1,7,-0.0488134,-0.0476
0.1.4_Au-0.1.5_Ir,1,0:1:4,0:1:5,0.11354308,0.3611
0_Au-8_Ir,1,0,8,0.03068922,0.0389
4_Os-3_Hg,2,4,3,-0.01593904,-0.00599999999997
1_Re-7_Tl,3,1,7,-0.06846688,-0.0713999999999
